what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1501138813510
os,sysinfo,,,"linux",1501138813512
arch,sysinfo,,,"x86_64",1501138813512
ws,sysinfo,,,"gtk",1501138813512
locale,sysinfo,,,"en_IN",1501138813512
processors,sysinfo,,,"4",1501138813512
java.runtime.name,sysinfo,,,"OpenJDK Runtime Environment",1501138813512
java.runtime.version,sysinfo,,,"1.7.0_131-b00",1501138813512
java.specification.name,sysinfo,,,"Java Platform API Specification",1501138813512
java.specification.vendor,sysinfo,,,"Oracle Corporation",1501138813512
java.specification.version,sysinfo,,,"1.7",1501138813512
java.vendor,sysinfo,,,"Oracle Corporation",1501138813512
java.version,sysinfo,,,"1.7.0_131",1501138813512
java.vm.info,sysinfo,,,"mixed mode",1501138813512
java.vm.name,sysinfo,,,"OpenJDK 64-Bit Server VM",1501138813512
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1501138813512
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1501138813512
java.vm.specification.version,sysinfo,,,"1.7",1501138813512
java.vm.vendor,sysinfo,,,"Oracle Corporation",1501138813512
java.vm.version,sysinfo,,,"24.131-b00",1501138813512
started,bundle,org.eclipse.rse.services,3.2.200.201211090626,"org.eclipse.rse.services",1501138813617
started,bundle,org.eclipse.rse.core,3.3.100.201305201712,"org.eclipse.rse.core",1501138813634
started,bundle,org.eclipse.rse.ui,3.3.100.201305071605,"org.eclipse.rse.ui",1501138813764
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1501138813840
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1501138813862
started,bundle,org.eclipse.rse.subsystems.files.core,3.3.1.201211140039,"org.eclipse.rse.subsystems.files.core",1501138813890
started,bundle,org.eclipse.rse.subsystems.files.local,2.1.300.201205062159,"org.eclipse.rse.subsystems.files.local",1501138813890
started,bundle,org.eclipse.rse.connectorservice.local,2.1.400.201205062159,"org.eclipse.rse.connectorservice.local",1501138813931
started,bundle,org.eclipse.rse.services.local,2.1.500.201305211438,"org.eclipse.rse.services.local",1501138813932
